36,74,74,53,74,74,74,36,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
36,74,51,60,59,74,74,36,74,53,74,74,74,65,53,74,74,74,74,45,54,45,53,74,74,74
36,74,73,67,73,74,74,36,51,60,59,74,74,51,60,59,74,74,74,4,4,4,60,74,74,74
36,74,74,74,74,74,74,36,74,67,74,53,74,67,67,74,74,74,74,36,74,29,67,74,53,74
33,33,33,74,74,74,74,36,74,74,51,60,74,74,74,74,74,19,74,36,74,29,74,51,60,74
50,67,67,33,74,74,74,19,74,74,74,67,59,74,74,74,74,74,74,36,74,29,74,74,67,53
50,74,74,28,33,74,74,74,74,74,74,74,48,74,74,19,74,74,74,36,74,29,74,74,74,60
50,74,74,28,51,53,51,53,59,48,74,74,19,74,74,74,74,74,74,36,74,29,74,74,53,67
50,74,74,28,74,60,74,60,74,19,74,74,74,74,74,53,74,74,74,74,74,74,74,74,60,74
50,74,74,28,59,67,74,67,59,74,74,74,74,74,51,60,59,74,74,74,74,74,74,51,67,59
50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
