74,74,23,67,23,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,51,53,74
74,74,37,64,37,74,74,74,74,74,74,74,53,74,74,74,74,53,74,74,74,53,74,58,60,59
74,51,0,4,2,52,74,74,74,74,74,51,60,52,74,74,74,60,52,74,51,60,74,74,67,74
74,58,14,15,16,59,74,74,74,74,74,67,72,59,74,53,51,67,59,74,74,67,59,74,74,74
74,74,74,22,74,74,48,74,74,20,74,74,53,74,65,60,67,74,74,74,74,56,74,74,74,54
74,74,74,29,74,74,20,74,74,74,74,51,60,74,58,67,74,74,74,74,74,41,74,74,27,27
56,45,48,29,48,74,74,74,74,74,74,74,67,74,45,74,74,41,74,45,74,74,74,74,74,50
26,26,26,26,26,74,74,53,53,74,74,57,74,74,41,74,74,74,74,41,74,74,74,74,74,50
74,74,49,74,26,74,72,67,67,74,74,41,74,74,74,74,53,74,74,74,74,53,74,74,74,50
74,74,49,74,74,74,74,74,74,74,74,74,74,74,74,74,60,59,74,74,51,60,74,74,74,50
40,40,49,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50
